Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68163074,2026 Feb 28 10:56:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10475,800 BAYCHESTER AVENUE,BAYCHESTER AVENUE,NEW ENGLAND TY NB EN BAYCHES,DONIZETTI PL,,,ADDRESS,BRONX,,,Open,,,,10 BRONX,BRONX,"1,030,188","258,214",Unspecified,BRONX,,,,,,,,40.87529259,-73.83388994,POINT (-73.833889941583 40.875292585647)
68158454,2026 Feb 28 10:38:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11362,51-09 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,51 AVE,52 AVE,,,ADDRESS,LITTLE NECK,,,Open,,,,11 QUEENS,QUEENS,"1,055,839","216,351",Unspecified,QUEENS,,,,,,,,40.76022015,-73.74158391,POINT (-73.741583907373 40.760220148775)
68160727,2026 Feb 28 06:38:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11365,58-39 198 STREET,198 STREET,58 AVE,HORACE HARDING EXPY SR N,,,ADDRESS,FRESH MEADOWS,,,Open,,,,11 QUEENS,QUEENS,"1,045,690","210,530",Unspecified,QUEENS,,,,,,,,40.74431938,-73.77827195,POINT (-73.778271950944 40.744319381688)
68165446,2026 Feb 28 05:47:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11239,1214 JEROME STREET,JEROME STREET,VANDALIA AVE,SCHROEDERS AVE,,,ADDRESS,BROOKLYN,,,Open,,,,05 BROOKLYN,BROOKLYN,"1,018,451","177,682",Unspecified,BROOKLYN,,,,,,,,40.65430668,-73.87674017,POINT (-73.876740174734 40.654306683593)
68164278,2026 Feb 28 04:26:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,2660 BROADWAY,BROADWAY,W 101 ST,W 102 ST,,,ADDRESS,NEW YORK,,,Open,,,,07 MANHATTAN,MANHATTAN,"992,728","229,985",Unspecified,MANHATTAN,,,,,,,,40.79792764,-73.96937952,POINT (-73.96937952076 40.797927641954)
68158449,2026 Feb 28 03:08:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11004,,,,,81 AVENUE,258 STREET,INTERSECTION,QUEENS,,,Open,,,,13 QUEENS,QUEENS,"1,063,995","209,951",Unspecified,QUEENS,,,,,,,,40.74258406,-73.71221915,POINT (-73.712219146232 40.742584060017)
68163072,2026 Feb 28 03:08:00 PM,2026 Feb 28 03:41:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11420,114-31 131 STREET,131 STREET,LINDEN BLVD,115 AVE,,,ADDRESS,SOUTH OZONE PARK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 28 03:41:00 PM,10 QUEENS,QUEENS,"1,036,852","187,407",Unspecified,QUEENS,,,,,,,,40.68090939,-73.81034757,POINT (-73.810347570865 40.680909392774)
68163073,2026 Feb 28 02:11:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11369,,,,,97 STREET,25 AVENUE,INTERSECTION,QUEENS,,,Open,,,,03 QUEENS,QUEENS,"1,019,518","217,842",Unspecified,QUEENS,,,,,,,,40.76453205,-73.87268437,POINT (-73.872684368014 40.764532046211)
68164279,2026 Feb 28 02:05:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11420,114-31 131 STREET,131 STREET,LINDEN BLVD,115 AVE,,,ADDRESS,SOUTH OZONE PARK,,,Open,,,,10 QUEENS,QUEENS,"1,036,852","187,407",Unspecified,QUEENS,,,,,,,,40.68090939,-73.81034757,POINT (-73.810347570865 40.680909392774)
68158450,2026 Feb 28 01:14:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11372,34-30 88 STREET,88 STREET,34 AVE,35 AVE,,,ADDRESS,JACKSON HEIGHTS,,,Open,,,,03 QUEENS,QUEENS,"1,017,692","213,771",Unspecified,QUEENS,,,,,,,,40.7533653,-73.87929637,POINT (-73.87929637407 40.753365299344)
68158451,2026 Feb 28 01:08:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68164280,2026 Feb 28 01:05:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68158452,2026 Feb 28 01:02:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68159571,2026 Feb 28 12:35:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11427,80-04 210 STREET,210 STREET,UNION TPKE,82 AVE,,,ADDRESS,QUEENS VILLAGE,,,Open,,,,11 QUEENS,QUEENS,"1,050,597","206,385",Unspecified,QUEENS,,,,,,,,40.73290697,-73.76060427,POINT (-73.760604265315 40.732906973594)
68158453,2026 Feb 28 10:53:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10304,50 CHAPIN AVENUE,CHAPIN AVENUE,DUTCHESS AVE,GREENPORT ST,,,ADDRESS,STATEN ISLAND,,,Open,,,,02 STATEN ISLAND,STATEN ISLAND,"956,354","156,600",Unspecified,STATEN ISLAND,,,,,,,,40.59646316,-74.10044961,POINT (-74.100449607253 40.596463162232)
68161876,2026 Feb 28 07:26:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11234,1740 EAST   38 STREET,EAST   38 STREET,QUENTIN RD,AVENUE R,,,ADDRESS,BROOKLYN,,,Open,,,,18 BROOKLYN,BROOKLYN,"1,002,425","163,288",Unspecified,BROOKLYN,,,,,,,,40.61484562,-73.93453634,POINT (-73.934536344602 40.614845617511)
68152959,2026 Feb 27 10:08:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11225,954 NOSTRAND AVENUE,NOSTRAND AVENUE,CROWN ST,MONTGOMERY ST,,,ADDRESS,BROOKLYN,,,Open,,,,09 BROOKLYN,BROOKLYN,"997,868","181,767",Unspecified,BROOKLYN,,,,,,,,40.66557468,-73.95091268,POINT (-73.950912681182 40.665574682108)
68150059,2026 Feb 27 09:20:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11233,,,,,HALSEY STREET,SARATOGA AVENUE,INTERSECTION,BROOKLYN,,,Open,,,,03 BROOKLYN,BROOKLYN,"1,007,075","189,033",Unspecified,BROOKLYN,,,,,,,,40.68549926,-73.91770062,POINT (-73.917700621461 40.685499257645)
68152958,2026 Feb 27 04:05:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11102,26-07 HOYT AVENUE NORTH,HOYT AVENUE NORTH,26 ST,27 ST,,,ADDRESS,ASTORIA,,,Open,,,,01 QUEENS,QUEENS,"1,006,372","220,863",Unspecified,QUEENS,,,,,,,,40.77286657,-73.92013076,POINT (-73.920130761531 40.772866571726)
68154472,2026 Feb 27 03:47:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,615 4 AVENUE,4 AVENUE,17 ST,18 ST,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"985,984","181,392",Unspecified,BROOKLYN,,,,,,,,40.66455569,-73.99374974,POINT (-73.993749735192 40.664555693476)
68145714,2026 Feb 27 12:59:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10306,19 MILBANK ROAD,MILBANK ROAD,NEUTRAL AVE,CEDAR GROVE AVE,,,ADDRESS,STATEN ISLAND,,,Open,,,,02 STATEN ISLAND,STATEN ISLAND,"955,745","143,729",Unspecified,STATEN ISLAND,,,,,,,,40.56113289,-74.10258825,POINT (-74.102588251146 40.561132891283)
68151533,2026 Feb 27 11:53:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11237,385 SUYDAM STREET,SUYDAM STREET,IRVING AVE,WYCKOFF AVE,,,ADDRESS,BROOKLYN,,,Open,,,,04 BROOKLYN,BROOKLYN,"1,006,160","196,113",Unspecified,BROOKLYN,,,,,,,,40.70493452,-73.92097678,POINT (-73.920976776678 40.704934519385)
68150057,2026 Feb 27 10:53:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11219,5220 13 AVENUE,13 AVENUE,52 ST,53 ST,,,ADDRESS,BROOKLYN,,,Open,,,,12 BROOKLYN,BROOKLYN,"985,903","169,964",Unspecified,BROOKLYN,,,,,,,,40.63318833,-73.9940445,POINT (-73.994044503153 40.63318832653)
